project,operator,measured_date,start_time,battery_index,battery_serial,cells_measured,min_cell_v,max_cell_v,mean_cell_v,cell_imbalance_v,pack_voltage_sum_v
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,7,4ERKL696G30ZK5,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,6,4ERPLCQEA2DGWX,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,2,4ERPLCQEA2DH08,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,1,4ERPLCQEA2DHC1,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,4,4ERPLCRDA0E3WT,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,3,4ERPLCRDA0E3Z5,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-06-09,2025-08-30 17:29:36.817000+00:00,5,4ERPLCREA2DJEM,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,7,4ERKL696G30ZK5,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,6,4ERPLCQEA2DGWX,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,2,4ERPLCQEA2DH08,4,4.27,4.27,4.27,0.0,17.08
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,1,4ERPLCQEA2DHC1,4,4.27,4.27,4.27,0.0,17.08
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,4,4ERPLCRDA0E3WT,4,4.3,4.3,4.3,0.0,17.2
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,3,4ERPLCRDA0E3Z5,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-06-27,2025-08-30 17:37:05.412000+00:00,5,4ERPLCREA2DJEM,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,7,4ERKL696G30ZK5,4,4.23,4.23,4.23,0.0,16.92
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,6,4ERPLCQEA2DGWX,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,2,4ERPLCQEA2DH08,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,1,4ERPLCQEA2DHC1,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,4,4ERPLCRDA0E3WT,4,4.29,4.29,4.29,0.0,17.16
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,3,4ERPLCRDA0E3Z5,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-07-25,2025-08-30 18:02:09.518000+00:00,5,4ERPLCREA2DJEM,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,7,4ERKL696G30ZK5,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,6,4ERPLCQEA2DGWX,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,2,4ERPLCQEA2DH08,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,1,4ERPLCQEA2DHC1,4,4.26,4.26,4.26,0.0,17.04
